Ticker,Volatility
ADANIENT,0.028600523792508787
ADANIPORTS,0.026028643454512657
APOLLOHOSP,0.014134574705070773
ASIANPAINT,0.012664679670924878
AXISBANK,0.015624964929158446
BAJAJ-AUTO,0.017609369939821526
BAJAJFINSV,0.014117849543856996
BAJFINANCE,0.01591849489773447
BEL,0.023283392059875133
BHARTIARTL,0.013624507728829288
BPCL,0.022068851102665002
BRITANNIA,0.013039218369984167
CIPLA,0.016332415765760364
COALINDIA,0.021411449147905545
DRREDDY,0.012490100212885843
EICHERMOT,0.01609889840743809
GRASIM,0.01446511381198158
HCLTECH,0.014294650681131723
HDFCBANK,0.01348980040538228
HDFCLIFE,0.014630077258587258
HEROMOTOCO,0.016563238026907092
HINDALCO,0.019586836411430934
HINDUNILVR,0.012073895796063713
ICICIBANK,0.012788897388104722
INDUSINDBK,0.0191111933352513
INFY,0.014491913053868204
ITC,0.011943702458319614
JSWSTEEL,0.016383932356722215
KOTAKBANK,0.014215663882255638
LT,0.01696390415004649
M&M,0.019212772948786868
MARUTI,0.013712493772447978
NESTLEIND,0.012516833638236864
NTPC,0.019475011701296695
ONGC,0.02224731217568337
POWERGRID,0.018671442296664318
RELIANCE,0.013562067130073357
SBILIFE,0.015113428426196436
SBIN,0.017939344821740196
SHRIRAMFIN,0.02168666460862403
SUNPHARMA,0.011732822937748232
TATACONSUM,0.0148047736681353
TATAMOTORS,0.01787650515641716
TATASTEEL,0.018231639152358904
TCS,0.013161771587106071
TECHM,0.016019868874918946
TITAN,0.014135893038630176
TRENT,0.023073798932652153
ULTRACEMCO,0.01431459670688822
WIPRO,0.017467886281905282
